Time (s),[ps],[e_ps],[b_ps],[mo],[so],[fa],[ofa],[oeps]
391.83673469387753,0.0030489184714995216,91.467554110931,0.0003228166900492574,2.5855747995651637e-07,2.270306731400567e-08,0.00011257998435156382,0.0008927372386854761,8895.909600282263
404.0816326530612,0.0030489181352439565,91.46754402326405,0.00033290469325576526,2.585574822200182e-07,2.2703065050503763e-08,0.00010513515959739044,0.0009001820634396496,9173.906329047357
416.3265306122449,0.003048917798988428,91.4675339355982,0.0003429926953496992,2.58557484486049e-07,2.2703062784473024e-08,9.818270724501759e-05,0.0009071345157920225,9451.903030080482
428.57142857142856,0.0030489174627329366,91.46752384793346,0.0003530806963310593,2.585574867544407e-07,2.2703060516081327e-08,9.168993857205258e-05,0.0009136272844649875,9729.899703351592
440.81632653061223,0.0030489171264774825,91.46751376026984,0.0003631686961998457,2.5855748902503766e-07,2.270305824548435e-08,8.562655569568353e-05,0.0009196906673413565,10007.896348832835
453.0612244897959,0.0030489167902220658,91.46750367260734,0.00037325669495605855,2.5855749129769376e-07,2.2703055972828265e-08,7.996409433504633e-05,0.0009253531287019937,10285.892966498051
465.3061224489796,0.0030489164539666855,91.46749358494594,0.00038334469259969795,2.5855749357227305e-07,2.270305369824895e-08,7.467611689864508e-05,0.0009306411061383949,10563.88955632294
477.55102040816325,0.0030489161177113424,91.46748349728566,0.000393432689130764,2.585574958486481e-07,2.2703051421873913e-08,6.97378148739605e-05,0.0009355794081630795,10841.886118284696
489.7959183673469,0.0030489157814560367,91.46747340962649,0.00040352068454925684,2.5855749812670044e-07,2.2703049143821616e-08,6.512610424471511e-05,0.0009401911187923249,11119.882652362105
502.0408163265306,0.0030489154452007683,91.46746332196844,0.00041360867885517665,2.585575004063191e-07,2.270304686420295e-08,6.081937055226588e-05,0.0009444978524847742,11397.879158535297
514.2857142857142,0.003048915108945537,91.46745323431149,0.00042369667204852343,2.585575026874005e-07,2.2703044583121574e-08,5.679743794468062e-05,0.0009485197850923593,11675.875636785728
526.530612244898,0.0030489147726903434,91.46744314665568,0.0004337846641292974,2.585575049698478e-07,2.270304230067427e-08,5.304149213597601e-05,0.0009522757309010639,11953.87208709611
538.7755102040816,0.0030489144364351864,91.46743305900098,0.0004438726550974988,2.5855750725357045e-07,2.2703040016951615e-08,4.953389957394873e-05,0.0009557833234630911,12231.868509450234
551.0204081632653,0.003048914100180066,91.46742297134737,0.00045396064495312747,2.5855750953848444e-07,2.2703037732037637e-08,4.625828141830857e-05,0.0009590589416187313,12509.864903833042
563.2653061224489,0.003048913763924982,91.46741288369488,0.00046404863369618374,2.5855751182451064e-07,2.2703035446011405e-08,4.31992487857331e-05,0.0009621179742513068,12787.861270230398
575.5102040816327,0.0030489134276699354,91.46740279604349,0.00047413662132666764,2.585575141115758e-07,2.2703033158946257e-08,4.034252502871127e-05,0.0009649746980083286,13065.85760862917
587.7551020408163,0.0030489130914149263,91.4673927083932,0.00048422460784457936,2.58557516399611e-07,2.27030308709111e-08,3.7674692626494995e-05,0.0009676425304105448,13343.853919017038
600.0,0.003048912755159954,91.46738262074403,0.0004943125932499189,2.585575186885522e-07,2.270302858196989e-08,3.518330071843732e-05,0.0009701339223186025,13621.85020138255
