Time (s),[ps],[e_ps],[so],[b_ps],[fa],[ofa],[eps],[oeps]
15183.26359832636,6.313806522993757e-07,9.339558056072928e-06,1.2599402183116192e-06,2.9061291627713404e-08,0.00029545870333638974,0.012404486828506646,0.3302674210920997,0.3502370036422829
15364.016736401674,6.313588008667481e-07,9.339234823609452e-06,1.2599048806315852e-06,2.9406375523816268e-08,0.0002830288083506452,0.012418926129407721,0.3274402837294844,0.3530641410048982
15544.769874476988,6.313369508038785e-07,9.338911611407819e-06,1.2598694673206868e-06,2.9751437788318708e-08,0.0002711223603528372,0.012432757426205185,0.32463742544429075,0.3558669992900918
15725.523012552301,6.313151021119805e-07,9.338588419485979e-06,1.2598339793479341e-06,3.009647840205809e-08,0.0002597172877997976,0.012446006353340727,0.3218586372267302,0.35864578750765236
15906.276150627615,6.312932547922521e-07,9.33826524786165e-06,1.2597984176649934e-06,3.044149734611533e-08,0.0002487922530267461,0.012458697692947003,0.3191037118582404,0.36140071287614217
16087.02928870293,6.312714088458739e-07,9.337942096552299e-06,1.2597627832016313e-06,3.078649460184393e-08,0.00023832692710375322,0.012470855055714353,0.31637244390975183,0.3641319808246307
16267.782426778243,6.312495642740072e-07,9.337618965575104e-06,1.2597270768603309e-06,3.113147015090488e-08,0.00022830231390737654,0.012482500504606127,0.31366462974661524,0.3668397949877673
16448.53556485356,6.312277210778018e-07,9.337295854947073e-06,1.2596912995351936e-06,3.14764239751401e-08,0.00021869962277747034,0.01249365586384556,0.3109800674551576,0.36952435727922495
16629.288702928872,6.31205879258391e-07,9.33697276468497e-06,1.2596554520994266e-06,3.1821356056654525e-08,0.000209501018735792,0.012504341847824459,0.30831855686907395,0.3721858678653086
16810.041841004186,6.311840388168916e-07,9.336649694805316e-06,1.259619535406543e-06,3.2166266377807635e-08,0.00020068955276102788,0.012514578142072949,0.3056798995571117,0.37482452517727083
16990.7949790795,6.311621997544058e-07,9.336326645324416e-06,1.2595835502931122e-06,3.251115492119385e-08,0.00019224900005872724,0.012524383591047244,0.30306389879761075,0.3774405259367718
17171.548117154813,6.311403620720224e-07,9.336003616258373e-06,1.2595474975820453e-06,3.285602166961937e-08,0.00018416366626483038,0.012533776423149146,0.30047035955042656,0.380034065183956
17352.301255230126,6.311185257708155e-07,9.33568060762308e-06,1.2595113780797197e-06,3.320086660612082e-08,0.00017641856124148603,0.012542774048939836,0.29789908845894153,0.382605336275441
17533.05439330544,6.310966908518442e-07,9.335357619434198e-06,1.2594751925743764e-06,3.3545689713975174e-08,0.00016899949158763518,0.012551392953706289,0.2953498938514784,0.38515453088290413
17713.807531380753,6.310748573161552e-07,9.33503465170721e-06,1.2594389418430187e-06,3.389049097665219e-08,0.00016189266137737186,0.012559649161092966,0.2928225856849998,0.38768183904938275
17894.560669456067,6.310530251647814e-07,9.334711704457396e-06,1.2594026266476676e-06,3.423527037783883e-08,0.00015508489079043615,0.012567557979223865,0.2903169755587911,0.39018744917559145
18075.31380753138,6.310311943987423e-07,9.33438877769984e-06,1.2593662477356562e-06,3.458002790143662e-08,0.00014856360311165268,0.01257513401580179,0.2878328767003413,0.39267154803404125
18256.066945606693,6.310093650190436e-07,9.334065871449414e-06,1.2593298058397592e-06,3.492476353155991e-08,0.00014231681950983694,0.012582391184172485,0.28537010395312545,0.3951343207812571
18436.82008368201,6.309875370266798e-07,9.333742985720835e-06,1.259293301682599e-06,3.526947725250466e-08,0.00013633289622054035,0.012589343008507793,0.28292847374014557,0.397575950994237
18617.573221757324,6.309657104226325e-07,9.333420120528618e-06,1.259256735973706e-06,3.5614169048767884e-08,0.00013060070407985128,0.012596002415333558,0.2805078040691001,0.39999662066528247
18798.326359832638,6.309438852078697e-07,9.333097275887085e-06,1.2592201094071206e-06,3.5958838905062856e-08,0.000125109770547698,0.012602381568626881,0.2781079145327468,0.40239651020163575
18979.07949790795,6.309220613833488e-07,9.332774451810395e-06,1.2591834226679538e-06,3.6303486806273894e-08,0.00011984989478056992,0.012608492316773355,0.27572862626294037,0.4047757984714422
19159.832635983264,6.309002389500151e-07,9.332451648312531e-06,1.2591466764299794e-06,3.6648112737471784e-08,0.0001148112914838471,0.012614346025537466,0.27336976193147516,0.4071346628029074
19340.585774058578,6.308784179088018e-07,9.332128865407301e-06,1.259109871355058e-06,3.6992716683916796e-08,0.00010998462680889362,0.012619953536383833,0.2710311457422434,0.40947327899213914
19521.33891213389,6.308565982606298e-07,9.331806103108324e-06,1.259073008092015e-06,3.733729863106567e-08,0.00010536108680539399,0.012625325086996835,0.2687126034276178,0.4117918213067647
19702.092050209205,6.3083478000641e-07,9.331483361429076e-06,1.2590360872822658e-06,3.7681858564532074e-08,0.00010093204653119922,0.012630470695495027,0.26641396220130364,0.4140904625330789
19882.84518828452,6.308129631470422e-07,9.331160640382865e-06,1.2589991095561311e-06,3.8026396470111114e-08,9.668928998239184e-05,0.012635399905063257,0.26413505077067123,0.4163693739637113
20063.598326359832,6.307911476834141e-07,9.330837939982824e-06,1.2589620755326904e-06,3.837091233377979e-08,9.262502013597134e-05,0.01264012177228853,0.26187569933037974,0.4186287254040028
20244.351464435145,6.307693336164031e-07,9.330515260241934e-06,1.2589249858218649e-06,3.871540614168155e-08,8.873173830465197e-05,0.012644645007256034,0.25963573953360647,0.4208686852007761
20425.104602510462,6.307475209468766e-07,9.33019260117302e-06,1.258887841024969e-06,3.9059877880121585e-08,8.50022134982935e-05,0.012648978009128519,0.25741500447687254,0.42308942025751
20605.857740585776,6.307257096756911e-07,9.329869962788757e-06,1.2588506417338225e-06,3.94043275355724e-08,8.142953642875528e-05,0.012653128803436473,0.25521332869794483,0.4252910960364377
20786.61087866109,6.307038998036922e-07,9.329547345101648e-06,1.258813388529827e-06,3.9748755094679767e-08,7.800717495397505e-05,0.012657104977693463,0.25303054817666865,0.4274738765577139
20967.364016736403,6.306820913317162e-07,9.329224748124067e-06,1.2587760819876303e-06,4.0093160544235634e-08,7.472876167579299e-05,0.012660913928049439,0.2508665002861816,0.4296379244482009
21148.117154811716,6.306602842605894e-07,9.328902171868237e-06,1.2587387226730113e-06,4.043754387119265e-08,7.158821922837374e-05,0.012664562713800108,0.2487210238058054,0.43178340092857714
21328.87029288703,6.306384785911276e-07,9.328579616346228e-06,1.2587013111428853e-06,4.078190506266334e-08,6.857976165012747e-05,0.012668058055796546,0.24659395891103525,0.4339104658233473
21509.623430962343,6.306166743241375e-07,9.328257081569967e-06,1.2586638479459164e-06,4.1126244105915043e-08,6.569786030892058e-05,0.012671406376014742,0.24448514715742242,0.43601927757696013
21690.376569037657,6.305948714604158e-07,9.327934567551245e-06,1.2586263336241104e-06,4.147056098835772e-08,6.293715241822832e-05,0.012674613903789373,0.24239443145427,0.4381099932801126
21871.12970711297,6.305730700007507e-07,9.327612074301716e-06,1.2585887687116354e-06,4.181485569755169e-08,6.0292511796794924e-05,0.012677686593648058,0.24032165606711509,0.44018276866726747
22051.882845188284,6.305512699459196e-07,9.327289601832884e-06,1.258551153733606e-06,4.215912822121566e-08,5.775912132168539e-05,0.012680630041181074,0.2382666666209533,0.44223775811342925
22232.6359832636,6.305294712966919e-07,9.326967150156126e-06,1.2585134892096756e-06,4.250337854720017e-08,5.5332265039724297e-05,0.012683449724442708,0.23622931005250059,0.444275114681882
22413.389121338914,6.305076740538278e-07,9.32664471928269e-06,1.2584757756521074e-06,4.284760666350079e-08,5.300744235870592e-05,0.012686150871354307,0.23420943462089264,0.44629499011348994
22594.142259414228,6.304858782180783e-07,9.326322309223685e-06,1.2584380135659398e-06,4.319181255825616e-08,5.07803599545994e-05,0.012688738469102265,0.23220688989709234,0.4482975348372903
22774.89539748954,6.304640837901855e-07,9.325999919990084e-06,1.2584002034488058e-06,4.353599621974874e-08,4.8646943895015223e-05,0.012691217250060968,0.23022152675693883,0.4502828979774438
22955.648535564855,6.304422907708831e-07,9.325677551592748e-06,1.2583623457929626e-06,4.388015763638918e-08,4.660322331042453e-05,0.01269359182687897,0.2282531973464872,0.4522512273878954
23136.401673640168,6.304204991608963e-07,9.325355204042398e-06,1.2583244410839462e-06,4.422429679672552e-08,4.4645410140557655e-05,0.01269586659987596,0.2263017550895164,0.4542026696448662
23317.15481171548,6.303987089609415e-07,9.325032877349634e-06,1.2582864898002482e-06,4.4568413689445057e-08,4.276991913055793e-05,0.01269804573382081,0.22436705468512824,0.4561373700492543
23497.907949790795,6.303769201717269e-07,9.32471057152493e-06,1.2582484924147988e-06,4.491250830336249e-08,4.0973283863501094e-05,0.012700133255442838,0.22244895207592477,0.4580554726584578
23678.66108786611,6.303551327939528e-07,9.324388286578646e-06,1.2582104493947298e-06,4.525658062742108e-08,3.925217197496768e-05,0.012702133035763978,0.22054730444300463,0.4599571202913779
23859.414225941422,6.30333346828311e-07,9.324066022521015e-06,1.258172361201131e-06,4.560063065069385e-08,3.76034005820604e-05,0.012704048772181826,0.21866197020139247,0.4618424545329901
24040.167364016736,6.30311562275485e-07,9.32374377936215e-06,1.2581342282886863e-06,4.594465836238581e-08,3.602395860215348e-05,0.01270588396255147,0.21679280899853284,0.4637116157358497
24220.920502092053,6.30289779136151e-07,9.323421557112049e-06,1.2580960511074085e-06,4.628866375181994e-08,3.451090883540829e-05,0.01270764201889752,0.21493968167497848,0.4655647430594041
24401.673640167366,6.302679974109771e-07,9.323099355780598e-06,1.2580578301016048e-06,4.6632646808444546e-08,3.306144866897116e-05,0.012709326196919045,0.21310245027454114,0.46740197445984144
24582.42677824268,6.302462171006236e-07,9.322777175377562e-06,1.258019565709794e-06,4.6976607521833316e-08,3.167291615180783e-05,0.01271093958893627,0.21128097803792292,0.46922344669645966
24763.179916317993,6.302244382057429e-07,9.322455015912596e-06,1.25798125836531e-06,4.7320545881680024e-08,3.0342756986137485e-05,0.012712485162223333,0.20947512938320345,0.4710292953511791
24943.933054393307,6.302026607269805e-07,9.322132877395244e-06,1.2579429084967472e-06,4.766446187779445e-08,2.9068500590141435e-05,0.012713965786806796,0.20768476988931045,0.4728196548450721
