exposure (J/cm²),oxidation,excitation,log10-oxidation,log10-excitation,inactivation,log10-inactivation
40.727272727272734,0.9999999957400975,0.9901222656420532,8.37060033658544,2.0053426575052185,0.9999999903321191,8.014668706558568
42.181818181818194,0.9999999976811423,0.9901222656420532,8.634725908863985,2.0053426575052185,0.9999999903328415,8.014701159964424
43.63636363636363,0.9999999983947037,0.9901222656420532,8.7944447843944,2.0053426575052185,0.999999990333405,8.014726477998115
45.09090909090909,0.9999999986746522,0.9901222656420532,8.877670128165672,2.0053426575052185,0.9999999903338485,8.014746400278165
46.545454545454554,0.9999999990743308,0.990122265642053,9.033544182677808,2.0053426575052087,0.9999999903342001,8.014762198088798
48.00000000000001,0.9999999995119908,0.990122265642053,9.311572000687388,2.0053426575052087,0.9999999903344807,8.01477480881551
49.45454545454546,0.9999999998745299,0.990122265642053,9.901459829353318,2.0053426575052087,0.9999999903347064,8.014784950539791
50.909090909090914,1.00000000025232,0.990122265642053,,2.0053426575052087,0.9999999903348891,8.014793156879614
52.36363636363637,1.0000000003710827,0.990122265642053,,2.0053426575052087,0.9999999903350377,8.014799836805055
53.81818181818182,1.0000000004763423,0.990122265642053,,2.0053426575052087,0.9999999903351595,8.014805309531518
55.27272727272728,1.000000000371202,0.990122265642053,,2.0053426575052087,0.9999999903352597,8.01480980949136
56.727272727272734,1.000000000263263,0.990122265642053,,2.0053426575052087,0.9999999903353426,8.014813536211804
58.18181818181818,1.0000000001275038,0.990122265642053,,2.0053426575052087,0.9999999903354116,8.014816639342115
59.63636363636364,1.0000000000280704,0.990122265642053,,2.0053426575052087,0.9999999903354692,8.014819223637978
61.09090909090909,0.9999999999366938,0.990122265642053,10.198553417478971,2.0053426575052087,0.9999999903355176,8.014821398848731
62.545454545454554,0.9999999998145832,0.990122265642053,9.731850934753727,2.0053426575052087,0.9999999903355582,8.014823224836812
64.00000000000001,0.9999999997322564,0.990122265642053,9.572280893300217,2.0053426575052087,0.9999999903355927,8.01482477643381
65.45454545454547,0.9999999997549618,0.990122265642053,9.610766185259317,2.0053426575052087,0.999999990335622,8.01482609354944
66.90909090909092,0.9999999997333556,0.990122265642053,9.574067576403158,2.0053426575052087,0.9999999903356469,8.014827211105226
