Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa]
10483.682008368201,5.282320051193509e-09,1.2717634768699469e-08,0.000281259474293638,1.072931703243616e-09,4.518010701390733e-14,0.010933034433250988,4.338423600110728e-05
10664.435146443515,5.282319822595956e-09,1.2717634218331419e-08,0.00028125947429289485,1.0729316673819747e-09,4.595907261673281e-14,0.010932287934677962,4.413073457413333e-05
10845.188284518828,5.282319593998421e-09,1.2717633667963412e-08,0.00028125947429215173,1.0729316315196128e-09,4.673803815981441e-14,0.010931541487112539,4.487718213955666e-05
11025.941422594142,5.282319365400903e-09,1.2717633117595446e-08,0.0002812594742914086,1.0729315956565303e-09,4.751700364315212e-14,0.010930795090554718,4.562357869737728e-05
11206.694560669457,5.282319136803403e-09,1.2717632567227523e-08,0.00028125947429066546,1.0729315597927268e-09,4.8295969066745957e-14,0.0109300487450045,4.6369924247595175e-05
11387.44769874477,5.28231890820592e-09,1.2717632016859642e-08,0.00028125947428992234,1.0729315239282024e-09,4.9074934430595933e-14,0.010929302450461885,4.7116218790210356e-05
11568.200836820084,5.282318679608455e-09,1.2717631466491802e-08,0.00028125947428917923,1.0729314880629572e-09,4.985389973470202e-14,0.010928556206926874,4.786246232522282e-05
11748.953974895398,5.282318451011007e-09,1.2717630916124007e-08,0.00028125947428843607,1.0729314521969913e-09,5.063286497906423e-14,0.010927810014399464,4.860865485263256e-05
11929.707112970711,5.282318222413577e-09,1.2717630365756251e-08,0.00028125947428769295,1.0729314163303045e-09,5.1411830163682564e-14,0.010927063872879656,4.9354796372439594e-05
12110.460251046026,5.282317993816164e-09,1.2717629815388538e-08,0.00028125947428694984,1.072931380462897e-09,5.219079528855702e-14,0.010926317782367452,5.01008868846439e-05
12291.21338912134,5.282317765218769e-09,1.2717629265020869e-08,0.00028125947428620673,1.0729313445947686e-09,5.2969760353687604e-14,0.010925571742862851,5.08469263892455e-05
12471.966527196653,5.282317536621392e-09,1.271762871465324e-08,0.00028125947428546356,1.0729313087259193e-09,5.374872535907431e-14,0.010924825754365852,5.1592914886244376e-05
12652.719665271967,5.282317308024032e-09,1.2717628164285656e-08,0.00028125947428472045,1.0729312728563494e-09,5.452769030471713e-14,0.010924079816876455,5.233885237564053e-05
12833.47280334728,5.28231707942669e-09,1.2717627613918112e-08,0.00028125947428397734,1.0729312369860585e-09,5.530665519061608e-14,0.010923333930394663,5.308473885743397e-05
13014.225941422595,5.282316850829364e-09,1.2717627063550611e-08,0.0002812594742832342,1.072931201115047e-09,5.608562001677114e-14,0.010922588094920471,5.383057433162469e-05
13194.979079497909,5.282316622232057e-09,1.2717626513183151e-08,0.0002812594742824911,1.0729311652433146e-09,5.686458478318235e-14,0.010921842310453884,5.45763587982127e-05
13375.732217573222,5.282316393634767e-09,1.2717625962815735e-08,0.000281259474281748,1.0729311293708613e-09,5.764354948984966e-14,0.010921096576994898,5.5322092257197985e-05
13556.485355648536,5.282316165037495e-09,1.271762541244836e-08,0.00028125947428100484,1.0729310934976871e-09,5.842251413677309e-14,0.010920350894543516,5.606777470858055e-05
13737.23849372385,5.28231593644024e-09,1.2717624862081028e-08,0.0002812594742802617,1.0729310576237923e-09,5.920147872395266e-14,0.010919605263099735,5.68134061523604e-05
13917.991631799163,5.282315707843003e-09,1.2717624311713737e-08,0.0002812594742795186,1.0729310217491767e-09,5.998044325138834e-14,0.010918859682663559,5.755898658853753e-05
14098.744769874478,5.282315479245783e-09,1.271762376134649e-08,0.0002812594742787755,1.0729309858738403e-09,6.075940771908015e-14,0.010918114153234983,5.8304516017111944e-05
14279.497907949792,5.282315250648581e-09,1.2717623210979285e-08,0.0002812594742780324,1.072930949997783e-09,6.153837212702807e-14,0.010917368674814012,5.904999443808365e-05
14460.251046025105,5.282315022051396e-09,1.271762266061212e-08,0.0002812594742772893,1.0729309141210048e-09,6.231733647523213e-14,0.010916623247400644,5.979542185145263e-05
14641.004184100419,5.2823147934542295e-09,1.2717622110245e-08,0.00028125947427654616,1.0729308782435059e-09,6.30963007636923e-14,0.010915877870994878,6.054079825721889e-05
14821.757322175732,5.2823145648570794e-09,1.271762155987792e-08,0.00028125947427580305,1.0729308423652861e-09,6.38752649924086e-14,0.010915132545596713,6.128612365538244e-05
