Time (s),[ps],[e_ps],[mo],[so],[b_ps],[fa],[ofa],[eps],[oeps]
7953.138075313807,3.046064231114332e-07,4.694338624561853e-06,0.0002810745216452426,1.849706855008007e-07,1.05495232672394e-09,0.0054077675267444215,0.007981428819751241,1070.0996757007586,59.90450695535183
8133.891213389122,3.046049330919162e-07,4.694315661641848e-06,0.0002810743326436857,1.8513523438862644e-07,1.079405266246145e-09,0.0053190080173749835,0.008107454474745904,1068.7493178824864,61.254864773624
8314.644351464436,3.046034417538525e-07,4.694292678401521e-06,0.00028107414339159246,1.8530001211446193e-07,1.1038798446363796e-09,0.005231596161728288,0.008231520304747685,1067.3994647820712,62.60471787403933
8495.39748953975,3.046019490954174e-07,4.694269674812753e-06,0.0002810739538885452,1.8546501907228705e-07,1.128376091839937e-09,0.005145513252534529,0.008353654341779678,1066.050117127478,63.95406552863251
8676.150627615063,3.0460045511478315e-07,4.694246650847374e-06,0.00028107376413412903,1.856302556562991e-07,1.1528940378533085e-09,0.005060740799575811,0.008473884281791619,1064.7012756475378,65.30290700857262
8856.903765690377,3.045989598101187e-07,4.694223606477167e-06,0.00028107357412791005,1.8579572225646578e-07,1.1774337127243145e-09,0.0049772607564282315,0.008592237092920813,1063.3529410715528,66.65124158455752
9037.65690376569,3.045974631795901e-07,4.694200541673867e-06,0.00028107338386948455,1.8596141926845663e-07,1.201995146551874e-09,0.004895055003052662,0.008708739908625847,1062.0051141301974,67.99906852591299
9218.410041841005,3.045959652213602e-07,4.694177456409163e-06,0.00028107319335844423,1.8612734708647388e-07,1.226578369486205e-09,0.004814105713416943,0.008823419392699929,1060.657795554878,69.34638710123232
9399.163179916319,3.0459446593358854e-07,4.694154350654693e-06,0.0002810730025943821,1.8629350610451912e-07,1.2511834117288121e-09,0.0047343952865227835,0.008936301858122064,1059.3109860778543,70.69319657825609
9579.916317991632,3.0459296531443177e-07,4.694131224382045e-06,0.00028107281157689444,1.8645989671667956e-07,1.2758103035324989e-09,0.00465590632818185,0.009047413298283225,1057.9646864322701,72.03949622384017
9760.669456066946,3.0459146336204334e-07,4.694108077562765e-06,0.00028107262030558093,1.866265193171247e-07,1.300459075201387e-09,0.004578621647772734,0.009156779392346139,1056.6188973521605,73.38528530394981
9941.42259414226,3.045899600745737e-07,4.694084910168348e-06,0.00028107242877995934,1.867933743006388e-07,1.325129757088896e-09,0.004502524522889258,0.009264425062991,1055.2736195719583,74.73056308415192
