time (hr),oxidation,excitation,log10-oxidation,log10-excitation,log10-inactivation
2.711297071129707,0.993859864967098,0.9331806026249362,2.2118220778165902,1.17509744545731,5.061833621325114
2.7615062761506275,0.9944044837008691,0.9331160563263751,2.2521598348695777,1.1746781275367528,5.1021713783781015
2.811715481171548,0.9949007473774331,0.9330515182881239,2.2924934720746637,1.174259267668119,5.142505015583188
2.8619246861924688,0.9953529544602675,0.9329869885203848,2.332823071537137,1.1738408649831744,5.18283461504566
2.912133891213389,0.9957650220131693,0.9329224670331194,2.3731488427648686,1.1734229186147438,5.223160386273392
2.9623430962343096,0.9961405170205488,0.9328579538360567,2.413470869994172,1.173005427696752,5.263482413502696
3.01255230125523,0.9964826890641235,0.9327934489386983,2.4537892376636004,1.1725883913642596,5.303800781172124
3.0627615062761504,0.9967944983220739,0.9327289523503252,2.4941039914478966,1.1721718087535016,5.344115534956421
3.1129707112970713,0.9970786423567655,0.9326644640800049,2.534415271860655,1.1717556790019308,5.384426815369179
3.1631799163179917,0.9973375783037405,0.9325999841365961,2.5747231562790205,1.1713400012482413,5.424734699787544
3.213389121338912,0.9975735446401361,0.932535512528754,2.615027694104777,1.1709247746324034,5.465039237613301
3.2635983263598325,0.9977885807527668,0.9324710492649363,2.655328914816341,1.170509998295694,5.505340458324865
3.313807531380753,0.997984544956982,0.9324065943534077,2.6956268848276994,1.1700956713807233,5.545638428336224
3.3640167364016738,0.9981631304916271,0.9323421478022444,2.735921694976999,1.169681793031461,5.585933238485523
3.414225941422594,0.9983258798231462,0.9322777096193398,2.776213369358837,1.1692683623932627,5.626224912867361
3.4644351464435146,0.998474198410074,0.9322132798124063,2.8165019368939674,1.168855378612885,5.666513480402491
3.514644351464435,0.9986093667261569,0.9321488583889829,2.856787383411796,1.1684428408385217,5.706798926920319
3.5648535564853554,0.9987325519435803,0.9320844453564362,2.897069830237286,1.1680307482198113,5.74708137374581
3.6150627615062767,0.9988448171928577,0.9320200407219664,2.937349283433351,1.1676190999078666,5.787360826941875
3.665271966527197,0.9989471312282882,0.9319556444926088,2.977625755379525,1.1672078950552804,5.827637298888049
3.7154811715481175,0.9990403767239375,0.9318912566752401,3.0178992265828066,1.1667971328161617,5.86791077009133
3.765690376569038,0.9991253582100129,0.931826877276579,3.058169776102523,1.1663868123461336,5.908181319611047
3.8158995815899583,0.9992028086595376,0.9317625063031914,3.098437427495153,1.1659769328023604,5.9484489710036765
3.8661087866108788,0.9992733959416042,0.9316981437614936,3.1387021807453133,1.165567493343564,5.988713724253837
3.9163179916317996,0.9993377286329291,0.9316337896577538,3.178964021024277,1.1651584931300258,6.028975564532801
3.96652719665272,0.9993963613663869,0.9315694439980969,3.2192229726272856,1.1647499313236152,6.069234516135809
4.01673640167364,0.9994497995898265,0.9315051067885065,3.259479090180388,1.1643418070877924,6.109490633688912
4.066945606694561,0.9994985038121388,0.9314407780348279,3.2997323639339524,1.1639341195876263,6.149743907442476
4.117154811715481,0.9995428936989376,0.9313764577427709,3.3399827920605145,1.1635268679898025,6.189994335569038
4.167364016736402,0.9995833516491563,0.9313121459179119,3.380230332837294,1.163120051462634,6.230241876345818
4.2175732217573225,0.9996202262712115,0.9312478425656979,3.4204750812967557,1.1627136691760789,6.2704866248052795
4.2677824267782425,0.9996538351406762,0.9311835476914473,3.460717021314339,1.1623077203017393,6.310728564822863
4.317991631799163,0.9996844676764601,0.9311192613003536,3.5009561444517203,1.1619022040128808,6.350967687960244
4.368200836820083,0.9997123876125128,0.931054983397487,3.5411924127902674,1.1614971194844348,6.391203956298791
