Time (s),[ps],[e_ps],[mo],[so],[fa],[ofa]
28944.72361809045,110213.18521879477,127116.27253738305,7.45163799677216e-14,5.572757729199516e-09,0.001005041535322015,2.7568771502569276e-07
29547.738693467334,108466.01716896112,128863.4405872167,4.074075715277236e-14,5.57275839920565e-09,0.0010050415352889093,2.7568774813130963e-07
30150.75376884422,106746.53470008748,130582.92305609034,-7.361529319063411e-14,5.572760666698569e-09,0.0010050415351768207,2.7568786021986717e-07
30753.768844221104,105054.32298505973,132275.1347711181,-1.6294541438044447e-16,5.572759210207653e-09,0.0010050415352488165,2.7568778822401165e-07
31356.78391959799,103388.9255061225,133940.53225005532,2.5462166671031577e-13,5.572754157963024e-09,0.001005041535498549,2.7568753849164663e-07
31959.798994974873,101749.93902514923,135579.51873102857,1.4952372800836772e-13,5.572756241741236e-09,0.0010050415353955347,2.756876415058109e-07
32562.814070351757,100136.92847714163,137192.52927903616,-3.892824270667366e-13,5.572766925423809e-09,0.0010050415348674122,2.7568816962828857e-07
33165.82914572864,98549.49039279748,138779.9673633803,-8.407093917714602e-13,5.572775874941877e-09,0.0010050415344249348,2.756886121057373e-07
33768.84422110552,96987.2181729649,140342.23958321288,-8.22515496785467e-13,5.572775509649038e-09,0.0010050415344427634,2.756885942771304e-07
34371.85929648241,95449.70839700727,141879.7493591705,-6.33074104214742e-13,5.572771748594265e-09,0.0010050415346284436,2.756884085967878e-07
34974.874371859296,93936.57792299955,143392.87983317822,-7.623032277036341e-13,5.572774311461981e-09,0.0010050415345017774,2.7568853526305183e-07
35577.88944723618,92447.42699361249,144882.0307625653,-1.0195892593208578e-12,5.5727794169897774e-09,0.001005041534249597,2.75688787443573e-07
36180.90452261306,90981.8919552057,146347.56580097208,-9.29943644691511e-13,5.57277763946615e-09,0.001005041534337465,2.7568869957549165e-07
36783.919597989945,89539.57957121606,147789.8781849617,-5.682390537511096e-13,5.572770464641355e-09,0.0010050415346919948,2.7568834504572986e-07
37386.934673366835,88120.14234822201,149209.31540795576,-5.313627279181628e-13,5.572769733961366e-09,0.0010050415347281404,2.756883089000878e-07
37989.94974874372,86723.19856134187,150606.25919483593,-7.851272128716019e-13,5.572774768741406e-09,0.0010050415344794107,2.756885576297933e-07
38592.9648241206,85348.40603802804,151981.05171814974,-9.280306903883695e-13,5.572777603118191e-09,0.0010050415343393418,2.756886976988938e-07
39195.979899497484,83995.40466774219,153334.05308843558,-8.788754755079038e-13,5.572776625798113e-09,0.0010050415343875196,2.7568864952099856e-07
39798.99497487437,82663.85186998844,154665.60588618933,-7.147086444188333e-13,5.572773368280638e-09,0.0010050415345484289,2.756884886116847e-07
40402.01005025126,81353.41001577694,155976.04774040083,-4.790527578186284e-13,5.5727686973564255e-09,0.001005041534779414,2.75688257626723e-07
41005.02512562814,80063.73771949354,157265.72003668424,-2.3568690649062864e-13,5.572763875644476e-09,0.001005041535017958,2.756880190825844e-07
41608.040201005024,78794.51608003682,158534.94167614097,-2.556407723423737e-13,5.5727642731153445e-09,0.0010050415349984016,2.7568803863897723e-07
42211.05527638191,77545.40769450473,159784.05006167304,-5.09525960232718e-13,5.572769307714593e-09,0.0010050415347495512,2.7568828748956136e-07
42814.07035175879,76316.10918886214,161013.3485673156,-6.840861969973655e-13,5.57277276761321e-09,0.0010050415345784509,2.756884585898952e-07
43417.08542713568,75106.28942393683,162223.16833224092,-8.3753148710914e-13,5.57277580620865e-09,0.001005041534428044,2.756886089965851e-07
